,bathrooms,bedrooms,city,country,currency,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,livingArea,longitude,lotAreaUnit,lotAreaValue,newConstructionType,price,priceForHDP,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,zipcode,zpid,listing_sub_type.is_newHome,zestimate,listing_sub_type.is_FSBA,listing_sub_type.is_comingSoon,datePriceChanged,group_type,priceChange,priceReduction,priceSuffix,providerListingID,unit,videoCount,openHouse,listing_sub_type.is_openHouse,open_house_info.open_house_showing,listing_sub_type.is_bankOwned
0,3.0,3.0,Melbourne,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/866f269e62769553f972bebfb8fe0a8d-p_e.jpg,False,True,False,False,False,False,False,28.211788,2716.0,-80.67462,sqft,10454.4,BUILDER_SPEC,900000.0,900000.0,2787.0,False,FL,3290 Cappannelle Dr,130000.0,2263000.0,32940,305792537,True,,,,,,,,,,,,,,,
1,2.0,3.0,Cocoa,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4792f5ec73e8fdd3ef78730a5657a250-p_e.jpg,False,True,False,False,False,False,False,28.390812,1328.0,-80.75896,sqft,8276.4,,329900.0,329900.0,1900.0,False,FL,2515 Stanford Dr,150300.0,10725000.0,32926,43407202,,326700.0,True,,,,,,,,,,,,,
2,2.0,4.0,Cocoa Beach,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/7304fcb31643b4748ce6add1be6a805e-p_e.jpg,False,True,False,False,False,False,False,28.300032,1842.0,-80.609955,sqft,9583.2,,940000.0,940000.0,4876.0,False,FL,1020 S Orlando Ave,497650.0,12393000.0,32931,43438955,,849500.0,,True,,,,,,,,,,,,
3,2.0,3.0,West Melbourne,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/844533b5208d41dcd269bb316d1c853c-p_e.jpg,False,True,False,False,False,False,False,28.066069,2064.0,-80.65612,sqft,9147.6,,450000.0,450000.0,2564.0,False,FL,2012 Lune Ct,386590.0,14180000.0,32904,247228967,,447600.0,True,,,,,,,,,,,,,
4,3.0,4.0,Palm Bay,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/bbb5a00bf5a8de5231f16e87b3f51960-p_e.jpg,False,True,False,True,False,False,False,27.907127,2566.0,-80.639565,,,BUILDER_PLAN,392990.0,392990.0,2600.0,False,FL,"Plan 2566 Plan, Gardens at Waterstone II",,31966000.0,32909,2053408703,True,390700.0,,,1702368000000.0,BUILDER_COMMUNITY,-10000.0,"$10,000 (Dec 12)",+,29771015,# HYXQUB,,,,,
5,2.0,4.0,Palm Bay,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/cf36f21b2981d68221235bd28d198f0e-p_e.jpg,False,True,False,True,False,False,False,27.987026,1867.0,-80.64463,,,BUILDER_PLAN,271990.0,271990.0,2081.0,False,FL,"1867 Plan, Palm Bay",,39534000.0,32909,2057456667,True,268600.0,,,1704528000000.0,BUILDER_COMMUNITY,-30000.0,"$30,000 (Jan 6)",+,28910463,# QJP637,,,,,
6,2.0,3.0,Palm Bay,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/02bf7f3be69c048604fffa6d3b0be5cd-p_e.jpg,False,True,False,True,False,False,False,27.907127,2178.0,-80.639565,,,BUILDER_PLAN,378990.0,378990.0,2154.0,False,FL,"Plan 2178 Plan, Gardens at Waterstone III",,42706000.0,32909,2053263307,True,376200.0,,,1702368000000.0,BUILDER_COMMUNITY,-10000.0,"$10,000 (Dec 12)",+,30015875,# 3F730B,,,,,
7,2.0,4.0,Merritt Island,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/255a7f696a63c50a6ce10ca8a13a1b5a-p_e.jpg,False,True,False,True,False,False,False,28.412746,2379.0,-80.706154,,,BUILDER_PLAN,545990.0,545990.0,2938.0,False,FL,"Barcelona Plan, Armen Groves",,43714000.0,32953,2053188942,True,533400.0,,,1707552000000.0,BUILDER_COMMUNITY,6000.0,,+,29987923,# EU654R,,,,,
8,2.0,3.0,Merritt Island,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ac31fad24509f717c14e4a272c81e6f7-p_e.jpg,False,True,False,False,False,False,False,28.42595,1624.0,-80.71285,acres,0.27,,499999.0,499999.0,2500.0,False,FL,3807 Sunbeam Ct,337360.0,45321000.0,32953,43404263,,496700.0,True,,,,,,,,,,,,,
9,2.0,2.0,Melbourne,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/83f3ed5053f433dadd3a318e45a433d7-p_e.jpg,False,True,False,True,False,False,False,28.200165,1405.0,-80.74207,,,BUILDER_PLAN,381990.0,381990.0,2650.0,False,FL,"Contour Plan, Del Webb at Viera",,50686000.0,32940,2058351827,True,372600.0,,,1702368000000.0,BUILDER_COMMUNITY,2000.0,,+,29517665,# GGSARR,,,,,
10,3.0,4.0,Grant Valkaria,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8bacda8196b81e8888ee4e6e1ca9c643-p_e.jpg,False,True,False,False,False,False,False,27.928509,2547.0,-80.54349,acres,1.0,,810000.0,810000.0,5410.0,False,FL,3889 Gardenwood Cir,646450.0,56654000.0,32949,104137708,,,,True,,,,,,,,,,,,
11,4.0,4.0,Melbourne,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a9b58ebb879e6121770c032e5d2fa24e-p_e.jpg,False,True,False,False,False,False,False,28.047928,3058.0,-80.60983,sqft,7405.2,,410000.0,410000.0,2485.0,False,FL,4415 Millicent Cir,359380.0,58125000.0,32901,104107371,,406900.0,True,,,,,,,,,1.0,,,,
